,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Comoros,Total renewable energy,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,
,Hydropower,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,
,Renewable hydropower,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,,,,,,,,,,,,,,,,,,,,
,Solar photovoltaic,,,,,,,,,,,,,,,,,,,,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,Total renewable energy,6 225,6 214,6 356,6 222,7 161,7 475,7 512,7 879,7 529,7 940,7 812,7 481,7 862,8 679,9 074,9 168,9 245,9 287,9 963,
,Hydropower,6 225,6 214,6 356,6 222,7 161,7 475,7 512,7 879,7 529,7 940,7 812,7 481,7 861,8 679,9 073,9 168,9 241,9 280,9 936,
,Renewable hydropower,6 225,6 214,6 356,6 222,7 161,7 475,7 512,7 879,7 529,7 940,7 812,7 481,7 861,8 679,9 073,9 168,9 241,9 280,9 936,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,27,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,27,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Congo,Total renewable energy,210,320,319,397,344,355,372,335,375,330,430,430,1 126,1 126,1 126,1 127,1 164,1 242,1 242,
,Hydropower,210,320,319,397,344,355,372,335,375,330,430,430,1 126,1 126,1 126,1 126,1 164,1 242,1 242,
,Renewable hydropower,210,320,319,397,344,355,372,335,375,330,430,430,1 126,1 126,1 126,1 126,1 164,1 242,1 242,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Cote d Ivoire,Total renewable energy,1 764,1 800,1 729,1 832,1 748,1 433,1 510,1 797,1 898,2 132,1 620,1 776,1 791,1 608,1 917,1 356,1 534,2 054,2 969,
,Hydropower,1 764,1 800,1 729,1 832,1 748,1 433,1 510,1 797,1 898,2 131,1 618,1 774,1 789,1 606,1 914,1 353,1 529,2 047,2 962,
,Renewable hydropower,1 764,1 800,1 729,1 832,1 748,1 433,1 510,1 797,1 898,2 131,1 618,1 774,1 789,1 606,1 914,1 353,1 529,2 047,2 962,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,7,7,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,7,7,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Djibouti,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
,Hydropower,,,,,,,,,,,,,,,,,,,,
,Renewable hydropower,,,,,,,,,,,,,,,,,,,,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Egypt,Total renewable energy,14 092,15 621,13 393,13 399,13 721,13 504,13 820,13 902,16 688,15 942,14 361,15 102,15 313,14 722,15 145,15 626,16 148,15 960,15 918,
,Hydropower,13 697,15 130,12 859,12 859,13 019,12 644,12 925,12 925,15 510,14 682,12 863,13 046,12 934,13 121,13 352,13 822,13 545,12 850,12 726,
,Renewable hydropower,13 697,15 130,12 859,12 859,13 019,12 644,12 925,12 925,15 510,14 682,12 863,13 046,12 934,13 121,13 352,13 822,13 545,12 850,12 726,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,81,179,213,214,377,533,561,635,847,948,1 159,1 496,1 564,1 260,1 332,1 444,2 058,2 200,2 334,
,Onshore wind energy,81,179,213,214,377,533,561,635,847,948,1 159,1 496,1 564,1 260,1 332,1 444,2 058,2 200,2 334,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,1,1,1,1,1,1,1,2,2,25,245,504,25,140,42,234,603,553,
,Solar photovoltaic,0,1,1,1,1,1,1,1,2,2,25,25,25,25,25,42,66,22,69,
,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,219,479,0,114,0,168,581,484,
,Bioenergy,314,311,320,325,325,326,333,340,329,310,314,315,311,316,321,318,311,308,305,
,Solid biofuels,314,311,320,325,325,326,333,340,329,310,314,315,311,316,321,318,311,308,305,
,Bagasse,314,311,320,325,325,326,333,340,329,310,314,315,311,316,321,318,311,308,305,
